Output1,Output2,Output3,Output4,Truth
A group of people are standing outside on a bench,A group of people are standing outside on a beach,A group of people are sitting outside on a bench,A group of people are sitting on the beach,This church choir sings to the masses as they sing joyous songs from the book at a church
The woman is standing outside,The woman is sitting on a bench,The woman is sitting on a street,The man is standing outside,The church has cracks in the ceiling
A group of people are standing outside on a bench,A group of people are standing outside on a beach,A group of people are sitting outside on a bench,A group of people are sitting on the beach,This church choir sings to the masses as they sing joyous songs from the book at a church
The woman is sitting on a bench,The woman is sitting outside,The woman is sitting outside of a crowd,The woman is sitting on a street,The church is filled with song
A group of people are standing outside on a bench,A group of people are standing outside on a beach,A group of people are sitting outside on a bench,A group of people are sitting on the beach,This church choir sings to the masses as they sing joyous songs from the book at a church
A group of people are standing outside,A group of people are sitting outside,A group of people are standing,A group of people are sitting,A choir singing at a baseball game
A woman wearing a green shirt and black dog is hole outside,A woman wearing a green shirt and glasses,A man wearing a green shirt and glasses,A woman wearing a green shirt and black dog is hole on the side,"A woman with a green headscarf, blue shirt and a very big grin"
The woman is sitting outside,The man is sitting outside,The person is outside,The woman is wearing a black,The woman is young
A woman wearing a green shirt and black dog is hole outside,A woman wearing a green shirt and glasses,A man wearing a green shirt and glasses,A woman wearing a green shirt and black dog is hole on the side,"A woman with a green headscarf, blue shirt and a very big grin"
The woman is sitting on a bench,The woman is sitting outside,The woman is sitting on a couch,The woman is sitting on a bike,The woman is very happy
A woman wearing a green shirt and black dog is hole outside,A woman wearing a green shirt and glasses,A man wearing a green shirt and glasses,A woman wearing a green shirt and black dog is hole on the side,"A woman with a green headscarf, blue shirt and a very big grin"
The woman is sitting outside,The man is sitting on a bench,The man is sitting outside,The woman is wearing a black,The woman has been shot
A group of people are walking down the street,A group of people are walking down a street,A group of people are standing outside,A group of people are sitting on a bench,An old man with a package poses in front of an advertisement
A woman is walking down the street,A man is walking down the street,A woman is walking down the street outside,A woman is walking down a street,A man poses in front of an ad
A group of people are walking down the street,A group of people are walking down a street,A group of people are standing outside,A group of people are sitting on a bench,An old man with a package poses in front of an advertisement
A man is walking down the street,A woman is walking down a street,A woman is sitting on a bench,A man is walking down a street,A man poses in front of an ad for beer
A group of people are walking down the street,A group of people are walking down a street,A group of people are standing outside,A group of people are sitting on a bench,An old man with a package poses in front of an advertisement
A woman is walking down a street,A man is walking down a street,A woman is sitting on a bench,A man is standing outside of a crowd,A man walks by an ad
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A group of people are standing outside,A statue at a museum that no seems to be looking at
The woman is sitting on a bench with her hair,The woman is sitting on a bench with her back,The man is walking through a picture of him,The man is walking through a picture,The statue is offensive and people are mad that it is on display
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A group of people are standing outside,A statue at a museum that no seems to be looking at
People are standing outside in the water,People are standing outside on the beach,People are standing outside on the grass,People are standing outside in the park,There is a statue that not many people seem to be interested in
A group of people are walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A group of people are standing outside,A statue at a museum that no seems to be looking at
Two people are sitting on the ground,Two people are sitting on the beach,Two people are standing in the water,Two people are sitting in the water,Tons of people are gathered around the statue
A group of people are walking down a street,A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting on a street,A land rover is being driven across a river
A group of people are walking down the street,A group of people walking down the street,A group of people are walking down a street,A group of people are sitting on the beach,A Land Rover is splashing water as it crosses a river
A group of people are walking down a street,A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting on a street,A land rover is being driven across a river
A woman is walking down a street,A woman is sitting on a bench,A woman is sitting on a street,A man is sitting on a bench,A vehicle is crossing a river
A group of people are walking down a street,A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting on a street,A land rover is being driven across a river
A man is riding a bicycle outside,A woman is riding a bicycle,A woman is playing the camera,A person is riding a bicycle,A sedan is stuck in the middle of a river
A woman is walking down the street,A man is walking down the street,A woman is sitting on the street,A group of people are walking down,A man playing an electric guitar on stage
A group of people are outside,A group of people are outdoors,A group of people are standing,A group of people are sitting,A man playing banjo on the floor
A woman is walking down the street,A man is walking down the street,A woman is sitting on the street,A group of people are walking down,A man playing an electric guitar on stage
A group of people are running,A group of people are walking,A group of people are sitting,A woman is sitting outside,A man playing guitar on stage
A woman is walking down the street,A man is walking down the street,A woman is sitting on the street,A group of people are walking down,A man playing an electric guitar on stage
A woman is sitting on the street,A woman is sitting on the beach,A woman is sitting on a bench,A man is sitting on the street,A man is performing for cash
A woman wearing a black shirt and hat,A woman wearing a blue shirt and hat,A woman wearing a black shirt and hats,A woman wearing a black shirt,A blond-haired doctor and her African american assistant looking threw new medical manuals
A woman is walking down a street,A woman is sitting on a bench,A woman is sitting on the street,A man is walking down a street,A doctor is looking at a book
A woman wearing a black shirt and hat,A woman wearing a blue shirt and hat,A woman wearing a black shirt and hats,A woman wearing a black shirt,A blond-haired doctor and her African american assistant looking threw new medical manuals
A group of people are standing in the water,A group of people are sitting on the beach,A group of people are standing outside,A group of people are sitting on a bench,A man is eating pb and j
A woman wearing a black shirt and hat,A woman wearing a blue shirt and hat,A woman wearing a black shirt and hats,A woman wearing a black shirt,A blond-haired doctor and her African american assistant looking threw new medical manuals
A group of people are standing,A group of people are sitting,A man is sitting on the street,A group of people are walking,A doctor is studying
An old man wearing a white shirt and black pants in the water with his face,An old man wearing a white shirt and black pants in the grass with his face,An old man wearing a white shirt and black pants in the water with glasses,An old man wearing a white shirt and black pants in the water with his day,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground"
A man is walking down the street,A woman is walking down a street,A woman is sitting on a bench,A man is sitting on the street,A boy runs into a wall
An old man wearing a white shirt and black pants in the water with his face,An old man wearing a white shirt and black pants in the grass with his face,An old man wearing a white shirt and black pants in the water with glasses,An old man wearing a white shirt and black pants in the water with his day,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground"
A group of people are standing outside,A group of people are sitting on a bench,A group of people are sitting outside,A man is sitting on the street,A tan girl runs leans over an object
